APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:00:00",226.69,233.71,232.65
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:01:00",232.07,233.71,232.81
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:02:00",225.49,233.56,232.15
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:03:00",231.92,233.56,232.75
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:04:00",226.09,234.01,232.72
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:05:00",227.73,234.01,232.93
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:06:00",231.92,233.71,232.91
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:07:00",226.24,233.56,232.19
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:08:00",231.92,234.01,232.78
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:09:00",225.49,233.56,232.51
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:10:00",232.07,233.56,232.81
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:11:00",225.94,233.71,232.6
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:12:00",225.79,233.86,232.64
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:13:00",225.94,234.01,232.68
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:14:00",231.92,234.01,233.17
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:15:00",225.94,233.86,232.3
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:16:00",231.92,233.71,232.77
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:17:00",226.69,233.71,232.21
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:18:00",231.92,233.71,232.8
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:19:00",225.94,233.71,232.55
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:20:00",228.855,233.86,232.595
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:21:00",226.39,233.56,232.32
APU001,a9tde5e5c784a42e7f35ted8d93ft2232b334241,"2015/01/04 10:22:00",225.49,233.26,232.3
